,hotel_id,repeating_amenities_score
1468,90995,2
1469,78569,0
1470,82926,2
1471,62414,2
1472,46982,2
1473,54519,2
1474,10801,0
1475,91853,2
1476,88430,0
1477,93670,0
1478,5865,0
1479,58817,0
1480,74536,0
1481,95141,0
1482,52517,2
1483,15619,0
1484,52514,2
1485,98308,2
1486,103061,0
1487,43297,0
1488,86956,2
1489,92615,2
1490,84138,2
1491,98015,0
1492,93518,2
1493,89797,2
1494,91577,2
1495,41607,0
1496,82597,2
1497,57768,2
1498,81559,0
1499,103581,2
1500,1722,0
1501,104003,2
1502,3781,0
1503,35512,0
1504,14258,0
1505,89181,2
1506,52871,2
1507,36221,2
1508,93189,2
1509,42946,2
1510,48056,0
1511,91566,2
1512,1548,0
1513,1095,0
1514,19028,0
1515,89631,2
1516,60617,0
1517,83834,2
1518,102993,2
1519,38471,0
1520,16328,0
1521,97579,2
1522,81885,2
1523,98642,2
1524,1402,0
1525,48807,0
1526,76010,2
1527,85584,2
1528,3593,0
1529,55405,2
1530,82749,2
1531,39689,2
1532,80333,2
1533,89021,2
1534,86166,2
1535,11884,0
1536,51121,0
1537,85822,2
1538,57587,2
1539,13599,0
1540,100920,2
1541,45305,0
1542,41868,0
1543,15095,0
1544,95556,2
1545,104517,2
1546,82551,2
1547,58026,2
1548,101707,2
1549,8930,0
1550,103786,2
1551,75216,0
1552,85378,2
1553,58867,2
1554,38822,2
1555,48581,0
1556,49931,0
1557,90460,2
1558,39587,0
1559,36912,0
1560,83412,0
1561,46216,0
1562,87169,2
1563,54136,2
1564,6267,0
1565,92955,0
1566,4287,0
1567,91349,2
1568,17728,0
1569,4306,0
1570,2214,0
1571,2515,0
1572,77888,2
1573,78324,0
1574,75641,2
1575,86435,0
1576,55455,0
1577,86573,2
1578,13273,0
1579,76878,2
1580,73112,2
1581,93880,2
1582,17947,0
1583,19747,2
1584,80464,2
1585,81212,2
1586,98993,2
1587,83898,2
1588,81311,0
1589,56043,0
1590,76251,2
1591,80723,2
1592,62669,2
1593,5502,0
1594,90176,2
1595,92122,2
1596,91236,2
1597,85,0
1598,14021,0
1599,102270,2
1600,90297,2
1601,82689,2
1602,46354,0
1603,83398,2
1604,60380,0
1605,35548,0
1606,41550,2
1607,78667,2
1608,93748,2
1609,101547,2
1610,14046,0
1611,76676,2
1612,92097,2
1613,81176,2
1614,87884,2
1615,85223,0
1616,82520,0
1617,80698,2
1618,73841,2
1619,97522,2
1620,43049,0
1621,99893,2
1622,85819,2
1623,73250,0
1624,93281,2
1625,94943,0
1626,19134,2
1627,47861,0
1628,999,0
1629,75064,2
1630,41561,0
1631,87951,2
1632,58321,0
1633,91034,2
1634,82824,0
1635,81938,2
1636,90120,2
1637,59983,0
1638,5687,0
1639,81052,2
1640,41429,0
1641,87650,2
1642,35438,0
1643,89571,2
1644,101207,2
1645,100633,2
1646,94043,2
1647,78079,2
1648,39438,0
1649,5673,0
1650,62917,2
1651,75652,2
1652,57117,0
1653,61702,2
1654,100031,2
1655,83569,0
1656,91065,2
1657,79277,2
1658,84343,0
1659,84500,2
1660,46500,2
1661,59491,2
1662,103763,2
1663,62484,0
1664,58760,2
1665,81814,0
1666,35905,2
1667,79997,2
1668,92246,2
1669,12114,2
1670,59519,0
1671,55320,2
1672,93143,2
1673,19733,0
1674,78203,2
1675,99280,0
1676,50837,2
1677,96898,2
1678,54288,2
1679,103361,2
1680,98979,2
1681,75826,2
1682,91807,2
1683,48418,2
1684,85974,2
1685,9380,0
1686,74918,0
1687,49647,2
1688,74943,2
1689,9107,0
1690,4883,0
1691,36136,0
1692,73211,2
1693,75978,2
1694,44981,2
1695,98678,2
1696,90454,2
1697,86261,2
1698,27316,0
1699,74735,2
1700,75953,2
1701,75832,2
1702,166,0
1703,80329,0
1704,7327,0
1705,74642,2
1706,41989,2
1707,40976,0
1708,55472,0
1709,88688,2
1710,6115,0
1711,6261,0
1712,97958,2
1713,1789,0
1714,12409,0
1715,80588,0
1716,8022,0
1717,50508,2
1718,13886,0
1719,61159,2
1720,47946,2
1721,49920,0
1722,7293,0
1723,85828,2
1724,16122,0
1725,60816,0
1726,49948,2
1727,80577,0
1728,85507,0
1729,6551,0
1730,47673,0
1731,96746,2
1732,47397,0
1733,93284,2
1734,91920,2
1735,101378,2
1736,55593,2
1737,16729,0
1738,103957,2
1739,83285,2
1740,60706,0
1741,5496,2
1742,93776,2
1743,44697,0
1744,57286,2
1745,92710,2
1746,76119,0
1747,48556,0
1748,93309,2
1749,92555,2
1750,53686,0
1751,49962,0
1752,84610,0
1753,100959,2
1754,10013,0
1755,95829,2
1756,57683,2
1757,4436,0
1758,87445,2
1759,17489,0
1760,85383,2
1761,38290,0
1762,58158,2
1763,73267,2
1764,91675,2
1765,15371,0
1766,82228,0
1767,90910,2
1768,9287,0
1769,89872,2
1770,36153,0
1771,58923,2
1772,3114,0
1773,13858,0
1774,9223,0
1775,37953,0
1776,18079,0
1777,18681,0
1778,4433,0
1779,88497,2
1780,1910,0
1781,41125,0
1782,103642,2
1783,89706,2
1784,94974,2
1785,90634,2
1786,43074,0
1787,99156,2
1788,17008,0
1789,76842,2
1790,81778,2
1791,84157,2
1792,102149,2
1793,36932,0
1794,61454,2
1795,36763,0
1796,49031,2
1797,94057,2
1798,51847,2
1799,49774,0
1800,57410,2
1801,41854,0
1802,50989,0
1803,95700,2
1804,102565,2
1805,93036,2
1806,3451,0
1807,8033,0
1808,36901,0
1809,61280,2
1810,55767,2
1811,97629,2
1812,90744,0
1813,103035,2
1814,54682,0
1815,14353,0
1816,103614,2
1817,103780,2
1818,87462,2
1819,60405,0
1820,93146,0
1821,74341,2
1822,58003,2
1823,42475,2
1824,301,0
1825,88798,2
1826,85794,2
1827,104528,2
1828,57553,0
1829,86888,2
1830,101682,2
1831,50969,0
1832,36462,2
1833,96895,2
1834,91672,2
1835,92873,0
1836,46486,0
1837,79578,2
1838,55798,2
1839,94822,2
1840,61308,2
1841,95708,2
1842,27352,2
1843,50494,0
1844,41409,0
1845,89900,2
1846,87926,2
1847,101235,2
1848,58583,2
1849,49473,0
1850,60568,2
1851,89284,2
1852,79947,0
1853,87448,2
1854,60993,2
1855,76687,2
1856,91506,2
1857,12072,0
1858,95722,0
1859,103752,2
1860,98076,2
1861,5516,0
1862,49771,2
1863,94181,2
1864,99542,2
1865,41401,0
1866,100771,2
1867,84326,2
1868,50685,2
