,hotel_id,hotel_amenities,image_available_for_category
7519,40788,Parking Facility|Dining Area,
7520,36763,Parking Facility,
7521,91467,Parking Facility,
7522,80726,Parking Facility,
7523,93568,Parking Facility,
7524,86261,Parking Facility|In-house Restaurant,
7525,8027,In-house Restaurant|Dining Area,Restaurant
7526,4728,Dining Area,
7527,46182,Dining Area,
7528,48432,Dining Area,
7529,83738,Garden/Backyard|Dining Area|Parking Facility,
7530,44630,Dining Area|In-house Restaurant,
7531,45735,Dining Area|Parking Facility|In-house Restaurant,
7532,45257,Dining Area|Parking Facility,
7533,59331,Dining Area|Board Games|Parking Facility|In-house Restaurant|Swimming Pool|Conference Room|Garden/Backyard,Fun Area|Pool|Restaurant
7534,11028,Parking Facility,
7535,36001,Parking Facility|In-house Restaurant,Restaurant
7536,37489,Parking Facility|Dining Area,
7537,996,Parking Facility|Gym|Conference Room,
7538,88356,Parking Facility|Dining Area,
7539,6956,Parking Facility|Dining Area|Conference Room|In-house Restaurant,Restaurant
7540,47946,Parking Facility|Dining Area|In-house Restaurant|Bar|Conference Room|Garden/Backyard,Restaurant|Boardroom|Lawn
7541,47046,Parking Facility|Bar|In-house Restaurant,
7542,35717,Parking Facility,
7543,37058,Parking Facility|Dining Area|Conference Room|Swimming Pool|In-house Restaurant|Gym|Spa,Boardroom|Pool|Restaurant
7544,86528,Parking Facility|Dining Area|In-house Restaurant,Restaurant
7545,80709,Spa|Dining Area|Parking Facility|Conference Room|Bar|Gym|In-house Restaurant,
7546,82360,Dining Area,
7547,92707,Dining Area|Parking Facility|Gym|Swimming Pool,Dining|Pool
7548,79677,Dining Area|Gym|Parking Facility,Dining
7549,38985,Dining Area,
7550,49920,Dining Area|Parking Facility|In-house Restaurant,
7551,7130,Dining Area|In-house Restaurant,Restaurant
7552,10092,Dining Area|Parking Facility|In-house Restaurant,Restaurant
7553,12232,Dining Area|Gym|Conference Room|In-house Restaurant,Restaurant
7554,16122,Dining Area|Parking Facility,
7555,60388,Gym|Parking Facility,Parking
7556,82813,Dining Area|Parking Facility|Swimming Pool|In-house Restaurant,Pool|Restaurant
7557,7293,Dining Area|Parking Facility|Conference Room,
7558,85524,Dining Area,
7559,82098,Dining Area|Conference Room|In-house Restaurant,
7560,79362,Dining Area|In-house Restaurant|Parking Facility|Conference Room,
7561,58850,Dining Area|Bar|Parking Facility|In-house Restaurant|Conference Room,Restaurant
7562,104790,Dining Area|Parking Facility,
7563,4908,Dining Area|Parking Facility|Conference Room|In-house Restaurant,Restaurant
7564,6056,Dining Area|Parking Facility|Bar|Conference Room|In-house Restaurant,
7565,38822,Dining Area|In-house Restaurant,
7566,54673,Dining Area|Parking Facility,Dining
7567,51692,Dining Area|Parking Facility,
7568,60380,Dining Area|Parking Facility|In-house Restaurant,Restaurant
7569,96608,Dining Area|Parking Facility|Swimming Pool|In-house Restaurant|Garden/Backyard,
7570,89698,Parking Facility|Dining Area|Garden/Backyard,
7571,93441,Parking Facility|Dining Area,
