,hotel_id,mrc_images_score,actual_room_categories,images_available_for_categories
28467,232,0.0,Classic (2X)|Classic (2X),
28468,89651,0.0,Classic (2X),
28469,853,0.0,Classic (2X),
28470,76657,0.0,Deluxe (3X)|Deluxe (3X),
28471,13957,0.0,Classic (2X)|Classic (2X),
28472,55557,0.0,Saver Double (X)|Classic (2X),
28473,74691,0.0,Classic (2X),
28474,14736,0.0,Deluxe (3X)|Deluxe (3X)|Suite (4X)|Suite (4X),
28475,94758,0.0,Classic (2X),
28476,61421,0.0,Classic (2X),
28477,693,0.0,Classic (2X),
28478,61697,0.0,Classic (2X),
28479,87384,0.0,Classic (2X),
28480,83674,0.0,Classic (2X),
28481,102206,0.0,Saver Double (X)|Classic (2X),
28482,48402,10.0,Saver Double (X)|Classic (2X),Saver Double (X)|Classic (2X)
28483,86394,0.0,Classic (2X),
28484,96685,10.0,Saver Double (X)|Classic (2X)|Classic (2X),Saver Double (X)|Classic (2X)|Classic (2X)
28485,82926,10.0,Classic (2X),Classic (2X)
28486,372,10.0,Classic (2X),Classic (2X)
28487,48565,10.0,Classic (2X),Classic (2X)
28488,42538,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28489,62172,10.0,Classic (2X),Classic (2X)
28490,92815,10.0,Classic (2X),Classic (2X)
28491,8903,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28492,60918,10.0,Classic (2X),Classic (2X)
28493,79050,10.0,Classic (2X),Classic (2X)
28494,60797,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28495,49001,10.0,Classic (2X),Classic (2X)
28496,50185,10.0,Classic (2X),Classic (2X)
28497,98808,10.0,Classic (2X),Classic (2X)
28498,86225,10.0,SPOT ON NON-AC,SPOT ON NON-AC
28499,84712,10.0,Indonesia Standard Double|Indonesia Standard Double,Indonesia Standard Double|Indonesia Standard Double
28500,93251,10.0,SPOT ON NON-AC,SPOT ON NON-AC
28501,57275,0.0,SPOT ON NON-AC SAVER|SPOT ON NON-AC SAVER|SPOT ON NON-AC|Classic (2X),
28502,46075,0.0,Classic (2X),
28503,62062,0.0,Classic (2X),
28504,18234,0.0,Classic (2X),
28505,93191,4.285714285714286,Spot on Bed in Mixed dorm room|Vietnam Standard Double|Classic (2X)|Spot on Bed in Female dorm room	|Spot on Standard Double	|Spot on Standard Triple|Spot on Standard Twin,Spot on Bed in Mixed dorm room|Spot on Standard Triple|Spot on Standard Twin
28506,5676,0.0,Deluxe (3X)|Classic (2X),
28507,90342,10.0,SPOT ON Double|SPOT ON Triple|SPOT ON SAVER,SPOT ON Double|SPOT ON Triple|SPOT ON SAVER
28508,92181,6.666666666666666,SPOT ON NON-AC|SPOT ON|SPOT ON SAVER,SPOT ON|SPOT ON SAVER
28509,86891,0.0,Classic (2X),
28510,98712,8.333333333333334,Individual Room|Classic (2X)|Triple Room (1 Double bed + 1 Single bed)|Quadruple Room (2 Double beds)|Double Room|Quadruple Room (1 Double bed + 2 Single beds),Individual Room|Triple Room (1 Double bed + 1 Single bed)|Quadruple Room (2 Double beds)|Double Room|Quadruple Room (1 Double bed + 2 Single beds)
