,hotel_id,no_of_comments
1255,89984,2
1256,101763,0
1257,47647,26
1258,38526,51
1259,62300,12
1260,94324,0
1261,38509,0
1262,76506,1
1263,37935,46
1264,94318,0
1265,98928,0
1266,43310,37
1267,50496,81
1268,62891,0
1269,98506,0
1270,97780,0
1271,91154,1
1272,98368,0
1273,95955,0
1274,79645,16
1275,36425,0
1276,47925,30
1277,90113,1
1278,93078,0
1279,99215,0
1280,81023,1
1281,19789,70
1282,90555,11
1283,61105,28
1284,93885,0
1285,49306,66
1286,86561,0
1287,96720,0
1288,82919,0
1289,90895,0
1290,90144,2
1291,84598,9
1292,61113,1
1293,90406,1
1294,104148,1
1295,96689,0
1296,97755,0
1297,55457,71
1298,75485,43
1299,103155,4
1300,79344,0
1301,103861,0
1302,102081,0
1303,104435,1
1304,50904,84
1305,100745,0
1306,89531,2
1307,93106,0
1308,38520,70
1309,57927,63
1310,92979,0
1311,51379,8
1312,100753,0
1313,96987,0
1314,61707,0
1315,97887,0
1316,104491,0
1317,95350,0
1318,49576,65
1319,94307,1
1320,78458,20
1321,75595,2
1322,44536,69
1323,76650,4
1324,102244,1
1325,102702,0
1326,95179,2
1327,46907,74
1328,60053,21
1329,92358,0
1330,103709,0
1331,83656,2
1332,80272,0
1333,84145,34
1334,74436,0
1335,85658,0
1336,59288,32
1337,50943,25
1338,89244,0
1339,101493,0
1340,82342,10
1341,96664,0
1342,78911,34
1343,58866,56
1344,17429,92
1345,58827,27
1346,38548,29
1347,89928,1
1348,51106,36
1349,101324,1
1350,15221,18
1351,47506,18
1352,44384,41
1353,19963,68
1354,79974,17
1355,38492,60
1356,48952,89
1357,92833,0
1358,92344,0
1359,62494,98
1360,100880,0
1361,92369,0
1362,57204,0
1363,104325,0
1364,14155,24
1365,89388,0
1366,98911,0
1367,82784,45
1368,47084,0
1369,97316,0
1370,101065,0
1371,37347,44
1372,97142,0
1373,48842,29
1374,96419,0
1375,87011,0
1376,101026,0
1377,62261,47
1378,94889,0
1379,13815,14
1380,89807,6
1381,19198,34
1382,96540,0
1383,93694,1
1384,77406,51
1385,83397,14
1386,5034,4
1387,59597,1
1388,99870,0
1389,96256,0
1390,98658,0
1391,88623,3
1392,82157,0
1393,86409,27
1394,50057,27
1395,6817,0
1396,58253,87
1397,102812,0
1398,95761,0
1399,38517,40
1400,47166,97
1401,62126,53
1402,79794,18
1403,103141,0
1404,84308,11
1405,92372,0
1406,101369,0
1407,104643,0
1408,78323,4
1409,92231,0
1410,79485,4
1411,96239,0
1412,47686,26
1413,45104,63
1414,40416,88
1415,83057,3
1416,61999,11
1417,85498,17
1418,51691,73
1419,77980,0
1420,84252,29
1421,89559,9
1422,93092,0
1423,59873,97
